pc,var_ratio,factor,kind,r2,r2_chance,excess,p,n_groups,weighted
PC4,0.06558896205029993,SEX,生物学,7.118002674166846e-05,0.0011282298676617258,-0.0010570498409200573,0.7611940298507462,2,-0.00011345512859513358
PC4,0.06558896205029993,DTHHRDY,生物学,0.06170886239574824,0.006585574322919079,0.055123288072829166,0.004975124378109453,6,0.005916485197562605
PC4,0.06558896205029993,組成:Neutrophils,血球組成,0.03511620818622441,0.0055691279388617905,0.029547080247362616,0.004975124378109453,5,0.003171343165954634
PC4,0.06558896205029993,組成:T Cells Naive,血球組成,0.235652908709574,0.005901927325956107,0.2297509813836179,0.004975124378109453,5,0.024659600833058414
PC4,0.06558896205029993,組成:B Cells,血球組成,0.2237174461295457,0.00527699282344011,0.2184404533061056,0.004975124378109453,5,0.023445620784212185
PC4,0.06558896205029993,組成:NK Cells,血球組成,0.12253056886737645,0.005702393742496095,0.11682817512488036,0.004975124378109453,5,0.012539385674370032
PC4,0.06558896205029993,組成:Monocytes,血球組成,0.02617816132020845,0.005220161536467299,0.02095799978374115,0.004975124378109453,5,0.0022494611592689903
PC4,0.06558896205029993,組成:Platelets,血球組成,0.04051014055461799,0.005081937639782383,0.03542820291483561,0.004975124378109453,5,0.0038025750177480494
PC5,0.03256324993056438,SMRIN,技術,0.02089349806819185,0.005279734685151358,0.015613763383040494,0.009950248756218905,5,0.0008320190022679509
PC5,0.03256324993056438,SMTSISCH,技術,0.02678821311103785,0.004791132824961456,0.021997080286076394,0.004975124378109453,5,0.0011721702413083012
PC5,0.03256324993056438,SMGEBTCH,技術,0.2289535627256981,0.18084175119578333,0.04811181152991478,0.024875621890547265,138,0.0025637599625663275
PC5,0.03256324993056438,SMNABTCH,技術,0.44628279089987855,0.44359836185722373,0.0026844290426548123,0.472636815920398,335,0.0001430466133587478
PC5,0.03256324993056438,SMCENTER,技術,0.009387087298733943,0.0024827641647799793,0.006904323133953963,0.01990049751243781,3,0.0003679143781240822
PC5,0.03256324993056438,AGE,生物学,0.013897120754545411,0.006834635252490911,0.0070624855020545,0.04477611940298507,6,0.00037634246125017087
PC5,0.03256324993056438,SEX,生物学,0.0035281021548926317,0.0012950548218239745,0.002233047333068657,0.0945273631840796,2,0.0001189935935685413
PC5,0.03256324993056438,DTHHRDY,生物学,0.018262941164300828,0.0066991744337277035,0.011563766730573124,0.014925373134328358,6,0.0006162046536507209
PC5,0.03256324993056438,組成:Neutrophils,血球組成,0.04053498814892187,0.005521343044403244,0.035013645104518626,0.004975124378109453,5,0.0018657909275907564
PC5,0.03256324993056438,組成:T Cells Naive,血球組成,0.01918157480983851,0.005598804966027113,0.013582769843811396,0.009950248756218905,5,0.0007237923578218388
PC5,0.03256324993056438,組成:B Cells,血球組成,0.023099267249765743,0.0054158233815868,0.017683443868178942,0.009950248756218905,5,0.0009423071787961524
PC5,0.03256324993056438,組成:NK Cells,血球組成,0.03143191995805261,0.005670081376432656,0.025761838581619956,0.004975124378109453,5,0.0013727849402757823
PC5,0.03256324993056438,組成:Monocytes,血球組成,0.05272073584141035,0.005324545837377833,0.047396190004032515,0.004975124378109453,5,0.002525626253648159
PC5,0.03256324993056438,組成:Platelets,血球組成,0.035894439607615625,0.0052611495403781594,0.030633290067237466,0.004975124378109453,5,0.0016323725941442076
